geography,year,dataset,geoid,county_name,state_fips,county_fips,total_population_est,total_households_est,median_household_income_est,per_capita_income_est,poverty_universe_est,below_poverty_est,housing_units_est,occupancy_universe_est,occupied_units_est,vacant_units_est,tenure_universe_est,owner_occupied_est,renter_occupied_est,median_home_value_est,median_gross_rent_est,mortgage_status_universe_est,with_mortgage_est,without_mortgage_est,median_owner_cost_with_mortgage_est,median_owner_cost_without_mortgage_est,rent_pct_income_universe_est,rent_30_34_est,rent_35_39_est,rent_40_49_est,rent_50p_est,mortgage_pct_income_universe_est,mortgage_30_34_est,mortgage_35_39_est,mortgage_40_49_est,mortgage_50p_est,total_population_moe,total_households_moe,median_household_income_moe,per_capita_income_moe,poverty_universe_moe,below_poverty_moe,housing_units_moe,occupancy_universe_moe,occupied_units_moe,vacant_units_moe,tenure_universe_moe,owner_occupied_moe,renter_occupied_moe,median_home_value_moe,median_gross_rent_moe,mortgage_status_universe_moe,with_mortgage_moe,without_mortgage_moe,median_owner_cost_with_mortgage_moe,median_owner_cost_without_mortgage_moe,rent_pct_income_universe_moe,rent_30_34_moe,rent_35_39_moe,rent_40_49_moe,rent_50p_moe,mortgage_pct_income_universe_moe,mortgage_30_34_moe,mortgage_35_39_moe,mortgage_40_49_moe,mortgage_50p_moe,poverty_rate,owner_rate,renter_rate,vacant_units,vacancy_rate,affordable_monthly_30pct_income,rent_pressure,mortgage_share,owner_cost_pressure_with_mortgage,owner_cost_pressure_without_mortgage,rent_burden_30p,rent_burden_50p,mortgage_burden_30p,mortgage_burden_50p
county,2022,acs1,25011,"Franklin County, Massachusetts",25,011,70894,32142,70306,37663,69809,10677,34488,34488,32142,2346,32142,22735,9407,301700,998,22735,13480,9255,1697,745,9407,869,373,778,2844,13480,1035,429,1006,1721,,829,8014,1967,534,2161,56,56,829,832,829,1052,1016,13236,102,1052,1270,935,101,46,1016,371,199,356,815,1270,431,237,415,480,0.152946,0.707330,0.292670,2346,0.068024,1757.65,0.567804,0.592918,0.965494,0.423861,0.517062,0.302328,0.310905,0.127671
county,2022,acs1,25013,"Hampden County, Massachusetts",25,013,461041,183441,63866,34290,449419,76806,197474,197474,183441,14033,183441,112973,70468,282100,1012,112973,72470,40503,1773,755,70468,6954,3443,6112,21482,72470,5986,4231,5112,9703,,2219,2496,1079,1028,7982,156,156,2219,2231,2219,3877,3821,5331,49,3877,3769,2572,49,30,3821,1778,1107,1700,2604,3769,1431,1272,1308,1714,0.170901,0.615855,0.384145,14033,0.071063,1596.65,0.633827,0.641481,1.110450,0.472865,0.539124,0.304848,0.345412,0.133890
county,2022,acs1,25015,"Hampshire County, Massachusetts",25,015,162588,62178,82078,41595,140559,16402,66989,66989,62178,4811,62178,41755,20423,370600,1313,41755,24896,16859,2144,846,20423,1636,750,1631,6553,24896,1353,1163,1927,2410,,1471,4571,2692,720,2752,210,210,1471,1456,1471,1709,1941,8795,112,1709,1811,1532,82,48,1941,589,389,755,1354,1811,499,631,813,748,0.116691,0.671540,0.328460,4811,0.071818,2051.95,0.639879,0.596240,1.044860,0.412291,0.517554,0.320864,0.275265,0.096803
county,2022,acs1,25017,"Middlesex County, Massachusetts",25,017,1617105,638217,118800,64775,1563563,127797,667964,667964,638217,29747,638217,392209,246008,690800,1997,392209,253590,138619,2929,1116,246008,23932,14700,21805,55358,253590,14255,10305,13606,29380,,3651,2672,1402,1086,10020,250,250,3651,3660,3651,6485,6100,8092,40,6485,7059,5070,42,23,6100,3018,1733,3061,4078,7059,2126,1714,2079,3224,0.081734,0.614539,0.385461,29747,0.044534,2970.00,0.672391,0.646569,0.986195,0.375758,0.470696,0.225025,0.266359,0.115856
county,2022,acs1,25021,"Norfolk County, Massachusetts",25,021,725531,281839,115969,66166,709846,46042,295728,295728,281839,13889,281839,194662,87177,651000,1957,194662,129031,65631,2935,1112,87177,7608,5604,8684,23492,129031,8171,5694,7343,16282,,2569,4724,2073,773,5690,154,154,2569,2556,2569,4462,4185,11038,60,4462,4105,3505,62,45,4185,1561,1487,2088,2743,4105,1566,1416,1557,2178,0.064862,0.690685,0.309315,13889,0.046965,2899.22,0.675008,0.662846,1.012340,0.383551,0.520642,0.269475,0.290550,0.126187
county,2022,acs1,25023,"Plymouth County, Massachusetts",25,023,533069,205217,103173,54163,523987,39306,218625,218625,205217,13408,205217,157615,47602,542500,1632,157615,105665,51950,2606,1010,47602,5559,3122,3404,13521,105665,7373,6093,5609,14999,,2265,3893,2344,809,5856,110,110,2265,2263,2265,4073,3682,17323,63,4073,3660,3472,59,46,3682,1607,1198,1110,2455,3660,1421,1477,1412,2253,0.075013,0.768041,0.231959,13408,0.061329,2579.32,0.632724,0.670399,1.010342,0.391575,0.537919,0.284043,0.322472,0.141949
county,2022,acs1,25025,"Suffolk County, Massachusetts",25,025,766381,330101,85358,55328,724123,118711,357351,357351,330101,27250,330101,119119,210982,669800,1941,119119,81348,37771,2777,1007,210982,20029,16665,17763,53408,81348,4810,3316,4147,13682,,3236,3286,2113,1112,7744,361,361,3236,3233,3236,5120,5873,13529,56,5120,4689,2841,75,70,5873,2933,2377,2367,4212,4689,1144,1111,1232,2063,0.163938,0.360856,0.639144,27250,0.076256,2133.95,0.909581,0.682914,1.301343,0.471895,0.511252,0.253140,0.319061,0.168191
county,2022,acs1,25027,"Worcester County, Massachusetts",25,027,862927,338087,86258,44812,837973,89192,355687,355687,338087,17600,338087,215023,123064,393800,1323,215023,145188,69835,2158,862,123064,11625,6676,11434,31858,145188,9163,5971,8626,16142,,2709,2877,1235,1042,7353,222,222,2709,2695,2709,4761,4584,6290,39,4761,4724,3000,39,28,4584,2138,1552,2196,3001,4724,1409,1422,1288,2353,0.106438,0.635999,0.364001,17600,0.049482,2156.45,0.613508,0.675221,1.000719,0.399731,0.500496,0.258873,0.274830,0.111180
county,2023,acs1,25001,"Barnstable County, Massachusetts",25,001,231735,109475,89893,61307,229604,19463,166909,166909,109475,57434,109475,85922,23553,634700,1604,85922,50151,35771,2404,916,23553,1376,2069,2483,6670,50151,3943,2629,4008,8007,,3630,3937,3531,95,4312,65,65,3630,3642,3630,3362,2619,19446,114,3362,3402,2674,97,57,2619,752,1057,1030,1741,3402,1118,843,1100,1744,0.084768,0.784855,0.215145,57434,0.344104,2247.32,0.713737,0.583681,1.069716,0.407596,0.534879,0.283191,0.370621,0.159658
county,2023,acs1,25003,"Berkshire County, Massachusetts",25,003,126818,58807,77498,47845,121238,14886,70074,70074,58807,11267,58807,40464,18343,298200,1074,40464,23814,16650,1797,821,18343,1833,2048,2448,3551,23814,1298,1000,1200,2941,,1977,7229,2921,754,3179,82,82,1977,1990,1977,2116,2181,17455,94,2116,2223,1603,126,47,2181,753,1052,994,1137,2223,553,454,431,876,0.122783,0.688081,0.311919,11267,0.160787,1937.45,0.554337,0.588523,0.927508,0.423753,0.538625,0.193589,0.270387,0.123499
